linux_number,syscall,family,status,scope_and_verification
25,mremap,Memory management,implemented,VM pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
27,mincore,Memory management,implemented,VM pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
28,madvise,Memory management,implemented,VM pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
29,shmget,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
30,shmat,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
31,shmctl,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
40,sendfile,Extended file interfaces,implemented,Transfer pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
64,semget,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
65,semop,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
66,semctl,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
67,shmdt,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
68,msgget,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
69,msgsnd,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
70,msgrcv,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
71,msgctl,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
75,fdatasync,Core file and process interfaces,pending,
76,truncate,Core file and process interfaces,pending,
94,lchown,Core file and process interfaces,pending,
99,sysinfo,Scheduling and resource discovery,pending,
101,ptrace,Linux administration and isolation,pending,
